title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Stefan2517/My-todo-app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Stefan2517/My_Description_app;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Stefan2517/PDF_Generator;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Stefan2517/Invoices_PDF;4.png
News API email;An application that receives data from a news API and sends it to you by email depending on the desired topic.;https://github.com/Stefan2517/News_API_email;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Stefan2517/Weather_API;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Stefan2517/Scraping_tour_sql;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://https://github.com/Stefan2517/Chatbot_gpt_gui;9.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Stefan2517/Email_Webcam_Detection;11.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Stefan2517/Weather_Forecast_Data_App;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Stefan2517/Student_Management_System;17.png
Marketplace Web App;A Django web app to let customers see more cars and their availability.;https://github.com/Stefan2517/App.car.marketplace;19.png
Hotel Booking;A program that shows a list of hotels. The user can book a hotel and get a reservation ticket.;https://github.com/Stefan2517/Hotel_booking;14.png
Job Application Form Flask;A web application that represents an employment form created with Flask.;https://github.com/Stefan2517/Job_application_form_Flask;15.png
Job Application Form Django;A web application that represents an employment form created with Django.;https://github.com/Stefan2517/Job_application_form_Django;18.png
NLP; Natural Language Processing of Books with Python;https://github.com/Stefan2517/Natural_Language_Processing;20.png

